A1,A2,A3,A4,A5
1,-0.00573341,0.111112,546.056,2
1,0.00453599,0.110673,546.222,2
1,-0.01092,0.122705,546.632,2
1,0.00377929,0.127099,546.381,2
1,0.0103096,0.180591,546.629,2
1,0.00851899,0.210957,546.887,2
1,-0.00222441,0.225536,546.692,2
1,0.0135416,0.166075,545.568,2
1,0.000406487,0.179119,545.797,2
1,0.0110024,0.190019,545.773,2
1,-0.00232461,0.1932,546.31,2
1,-0.0104569,0.198414,545.91,2
1,-0.00382541,0.206011,545.369,2
1,-0.00558791,0.209276,545.532,2
1,0.0317974,0.15891,497.706,4
1,0.0568465,0.196864,500.601,4
1,0.303999,0.288146,503.413,4
1,0.150781,0.315939,505.709,4
1,0.0185323,0.354603,509.311,4
1,-0.1412,0.343535,511.861,4
1,-0.0318128,0.317157,512.839,4
1,2.76E-02,0.342918,512.092,4
1,-5.70E-03,0.346224,511.283,4
1,0.123117,0.33658,510.616,4
1,-0.0688021,0.342042,508.902,4
1,-0.131117,0.374552,508.297,4
1,0.0704763,0.410878,508.673,4
1,-0.00371661,0.44607,504.903,4
1,0.0701546,0.482337,504.272,4
1,0.0551372,0.479172,502.644,4
1,-0.155285,0.494334,500.708,4
1,-0.322138,0.479176,503.798,4
1,-0.262571,0.509804,506.002,4
1,0.0986918,0.500838,512.117,4
1,-0.106155,0.482208,513.45,4
1,-0.111602,0.536133,513.661,4
1,-0.000207213,0.502786,514.823,4
1,-0.245589,0.515985,512.216,4
1,0.211681,0.492458,514.703,4
1,0.391015,0.442854,525.887,4
1,-0.157378,0.442649,558.589,4
1,-0.16344,0.434013,647.587,4
2,0.00245178,-0.237385,70.6036,1
2,0.00986338,-0.234081,71.7546,1
2,0.00649588,-0.22964,72.2049,1
2,0.00871818,-0.226789,72.3781,1
2,0.0118145,-0.225231,71.2046,1
2,0.00172258,-0.219742,70.7676,1
2,-0.000360621,-0.220457,70.355,1
2,-0.0141528,-0.214814,70.4766,1
2,0.00331378,-0.215089,71.6061,1
2,0.00190518,-0.213297,71.5923,1
2,0.0151446,-0.208921,72.3389,1
2,0.0123708,-0.20908,72.3749,1
2,2.44E-03,-0.205535,72.5323,1
2,4.31E-03,-0.205244,72.5841,1
2,-0.00653032,-0.123855,72.5967,1
2,-0.00729842,-0.119688,72.5263,1
2,0.00322178,-0.117476,72.4393,1
2,0.00392858,-0.116011,73.0102,1
2,0.00739298,-0.112976,73.3141,1
2,0.000598279,-0.111624,73.7389,1
2,0.00616748,-0.110958,73.7653,1
2,0.000310679,-0.109574,74.6349,1
2,0.0153448,-0.106654,74.4678,1
2,0.00782618,-0.109405,75.5726,1
2,0.00102468,-0.11207,75.6949,1
2,-0.000523821,-0.111887,74.6101,1
2,-0.00503162,-0.119322,73.5449,1
2,-0.00264962,-0.122411,71.9702,1
2,0.0118688,0.032897,76.8353,3
2,-0.00557362,0.0307632,75.793,3
2,0.000974679,0.0232402,75.1017,3
2,-0.000533721,0.011288,74.495,3
2,-0.00908452,-0.0020653,73.9259,3
2,0.00840558,-0.0138063,73.7871,3
2,0.0160418,-0.0204945,74.111,3
2,0.00528118,-0.0145433,74.6122,3
2,-0.000920221,-0.0098833,74.4592,3
2,0.0303473,-0.0054623,75.5951,3
2,-0.00391792,-0.00270605,75.4481,3
2,0.0131567,-0.0089593,75.1583,3
2,0.0220342,-0.0055803,76.0539,3
2,-0.00825862,-0.0050748,76.6254,3
2,-0.000984221,-0.0551443,76.76,2
2,-0.0127784,-0.0553263,76.9308,2
2,-0.000204821,-0.0537823,76.8359,2
2,0.0103738,-0.0505688,77.5897,2
2,0.0126179,-0.04862,77.0573,2
2,0.0116101,-0.045294,76.6458,2
2,-0.00647772,-0.0375048,76.2759,2
2,0.0101892,-0.018318,60.3378,2
2,0.0113989,-0.0220078,61.1467,2
2,-0.00165942,-0.0200333,61.6748,2
2,0.00115308,-0.0152285,61.9156,2
2,-0.00310632,-0.0115195,62.9351,2
2,-0.00356962,-0.0069963,62.7936,2
2,0.00568868,-0.0035973,62.3042,2
2,-0.00605942,-0.0101723,68.7117,3
2,0.00900118,0.0038537,67.9915,3
2,0.0355389,0.00338445,67.9944,3
2,0.0147383,0.00509145,68.253,3
2,-0.00251902,0.00230245,68.6213,3
2,-0.0116992,-0.00158205,68.3234,3
2,0.00335218,-0.0054123,68.4468,3
2,-0.00129742,-0.0141513,68.4876,3
2,0.0100953,-0.0190088,68.2543,3
2,0.0112505,-0.0220873,69.0208,3
2,0.0168776,-0.026077,68.4673,3
2,0.0122267,-0.0280533,68.3075,3
2,0.00734628,-0.0292228,68.4328,3
2,0.00628928,-0.0316228,68.0107,3
2,0.000682379,0.0968995,67.1178,2
2,0.00390748,0.100756,67.0037,2
2,0.00614258,0.105661,68.1359,2
2,-0.0338582,0.122128,68.4034,2
2,0.00783888,0.14218,69.0993,2
2,0.00692478,0.167913,68.8028,2
2,0.00651668,0.194791,68.4028,2
2,-0.0114659,0.228403,69.2642,2
2,0.023361,0.21538,68.9637,2
2,0.00865218,0.197708,69.3318,2
2,0.000319579,0.206847,69.9288,2
2,-0.00929082,0.218416,70.0592,2
2,0.000625979,0.222531,70.5421,2
2,0.00349078,0.22292,70.8161,2
2,0.00819468,0.350243,52.718,4
2,-0.174833,0.297754,51.8665,4
2,0.294292,0.33679,51.5751,4
2,-0.178179,0.390335,51.7151,4
2,0.115641,0.465051,50.3067,4
2,-0.181904,0.538425,48.1569,4
2,-5.84E-01,0.541176,46.0009,4
2,9.13E-02,0.555708,44.9777,4
2,-0.0505639,0.537733,45.6487,4
2,0.403971,0.521445,46.0564,4
2,0.528192,0.519241,46.732,4
2,-0.00993722,0.486529,45.5035,4
2,-0.367708,0.491728,45.3496,4
2,-0.265747,0.500792,45.6349,4
2,-0.15831,0.533434,45.3442,4
2,0.132925,0.578965,44.556,4
2,0.294989,0.582629,43.3155,4
2,0.0676787,0.593562,42.4727,4
2,-0.00756612,0.578322,42.1613,4
2,0.0730375,0.542737,41.8237,4
2,0.0405051,0.546796,43.0802,4
2,0.178222,0.55024,43.5429,4
2,-0.0310422,0.562026,44.0111,4
2,-0.12039,0.583832,44.0635,4
2,-0.0116213,0.595692,42.6907,4
2,-0.108598,0.596071,42.0785,4
2,0.0168846,0.599171,41.1703,4
2,0.166521,0.591856,41.2463,4
3,-0.00477743,-0.229366,450.988,1
3,-0.00247853,-0.243158,451.536,1
3,0.00682507,-0.248451,451.867,1
3,-0.00212313,-0.246088,451.929,1
3,0.00699107,-0.237156,451.733,1
3,0.00532797,-0.229468,451.677,1
3,-0.00496533,-0.223192,452.192,1
3,0.000638767,-0.22545,452.247,1
3,-0.00399633,-0.229495,451.846,1
3,-0.00534803,-0.227253,451.532,1
3,-0.00231813,-0.222477,451.534,1
3,0.00441387,-0.204837,451.574,1
3,-0.000102433,-0.195169,452.256,1
3,-0.00230923,-0.183879,452.45,1
3,-0.000164733,-0.101222,457.517,1
3,-0.00366643,-0.0876835,457.998,1
3,-0.00258463,-0.0747973,458.291,1
3,0.000457367,-0.0551955,458.038,1
3,0.00225987,-0.0414708,458.288,1
3,0.00319957,-0.0399373,458.295,1
3,0.00302487,-0.0383505,458.598,1
3,6.87E-05,-0.0395755,459.574,1
3,-0.00186493,-0.0369205,459.095,1
3,-0.00257813,-0.0236965,459.064,1
3,-0.00364643,-0.024079,459.028,1
3,-0.000650133,-0.0242108,459.332,1
3,-7.24E-05,-0.0259168,460.246,1
3,0.000236367,-0.036644,460.723,1
3,0.000882767,-0.0140115,460.857,3
3,0.00337647,-0.016603,460.564,3
3,0.00220197,-0.018113,460.659,3
3,0.00239877,-0.0175185,461.03,3
3,-0.000121133,-0.0215648,460.717,3
3,0.00192927,-0.017618,460.744,3
3,-0.000154233,-0.0136643,461.066,3
3,0.000863167,-0.00754051,461.215,3
3,-9.57E-05,0.00354424,461.238,3
3,9.41E-05,0.00161599,461.321,3
3,-0.000252633,-0.00403926,461.187,3
3,-0.000494833,-0.013721,460.697,3
3,0.000268667,-0.0210535,460.991,3
3,-0.00108273,-0.0165128,461.031,3
3,-0.000364733,-0.0688155,462.872,2
3,0.00193407,-0.0644065,463.354,2
3,0.000725567,-0.054091,462.71,2
3,0.00137147,-0.0435878,462.988,2
3,0.00101857,-0.032274,462.321,2
3,-0.000238433,-0.0232595,462.162,2
3,-0.00107683,-0.024434,463.387,2
3,-0.00443753,0.0727907,467.669,2
3,-0.00543723,0.0514987,467.981,2
3,-0.00378643,0.0450197,468.451,2
3,-0.00458063,0.0452205,469.158,2
3,-0.00255133,0.0536607,469.108,2
3,-0.00254153,0.0553107,469.695,2
3,-0.00186213,0.0557145,470.148,2
3,-0.00102243,0.0636765,471.486,3
3,0.00439807,0.0657412,471.381,3
3,0.00297217,0.0706257,471.591,3
3,0.00413857,0.0697027,471.736,3
3,0.000824467,0.072344,471.973,3
3,0.000425967,0.0666045,471.798,3
3,-0.00313833,0.0674787,472.104,3
3,-0.000977533,0.0740852,472.705,3
3,-0.00169763,0.080694,472.674,3
3,-0.000755733,0.0847657,472.717,3
3,-0.000642033,0.0885505,472.081,3
3,0.00170237,0.0892742,471.134,3
3,-0.00110193,0.0868907,471.438,3
3,-0.00347463,0.0871155,471.694,3
3,0.00276517,0.081037,466.218,2
3,0.00132357,0.0953467,466.584,2
3,0.00317267,0.112079,466.806,2
3,-0.00188393,0.123766,466.945,2
3,-0.00138693,0.133597,466.323,2
3,-0.00364783,0.143334,466.642,2
3,0.00219377,0.145362,466.405,2
3,-0.000227533,0.11349,468.324,2
3,0.00224507,0.109903,468.369,2
3,0.000368167,0.10936,468.074,2
3,-0.00126813,0.107679,467.762,2
3,-0.00111053,0.108239,468.119,2
3,-0.00246163,0.108996,468.411,2
3,-0.00178563,0.10981,468.427,2
3,-0.0279528,0.0948517,409.76,4
3,-0.0166243,0.078265,408.869,4
3,-0.0178518,0.0434727,407.646,4
3,-0.0159887,0.0131602,406.579,4
3,-0.0586472,0.00795574,407.221,4
3,0.0202676,0.0857197,408.528,4
3,0.0207205,0.19917,408.478,4
3,0.0389279,0.306979,409.154,4
3,0.0682147,0.341948,408.94,4
3,0.0128298,0.359738,408.645,4
3,0.0194206,0.336185,409.193,4
3,0.0275387,0.31184,408.762,4
3,0.0344916,0.341555,409.315,4
3,0.00326697,0.335229,408.815,4
3,0.0118264,0.342811,408.849,4
3,-0.119068,0.347741,409.56,4
3,-0.149842,0.33867,409.032,4
3,0.0871698,0.309635,409.128,4
3,0.0830528,0.272708,409.481,4
3,0.134451,0.254636,409.316,4
3,-0.0230291,0.231645,409.825,4
3,-0.241655,0.263299,410.364,4
3,-0.255463,0.293535,410.701,4
3,-0.0942232,0.291184,410.896,4
3,0.265428,0.31369,411.104,4
3,0.0580521,0.322614,411.304,4
3,-0.274902,0.328942,411.624,4
3,-0.923005,0.352543,412.322,4
4,-0.00180172,0.0412205,99.904,1
4,-0.000993225,0.042737,100.495,1
4,-0.00352942,0.043797,100.609,1
4,-0.000140225,0.0413032,100.908,1
4,-0.00128982,0.0443482,100.402,1
4,-0.00469972,0.0456572,100.673,1
4,-0.00289052,0.0470757,101.712,1
4,0.000626775,0.049228,101.245,1
4,0.00476948,0.0451915,101.96,1
4,0.00517448,0.0447135,101.664,1
4,-0.00386572,0.11043,102.498,1
4,-0.00529872,0.113306,102.611,1
4,-0.00244312,0.11107,101.97,1
4,0.00286368,0.110964,102.832,1
4,-0.000424025,0.280855,114.537,1
4,0.00114648,0.303917,116.222,1
4,-0.00146742,0.320895,116.459,1
4,-0.00197422,0.33476,116.249,1
4,-0.00519172,0.224021,117.406,1
4,-0.0110161,0.208759,117.435,1
4,-0.00750952,0.205929,117.612,1
4,-0.00791742,0.20059,118.153,1
4,-0.000804725,0.200217,117.986,1
4,0.000705675,0.197289,117.749,1
4,0.00399248,0.191148,117.629,1
4,0.00200938,0.193118,118.77,1
4,-0.00568852,0.197066,118.837,1
4,-0.000392225,0.198256,119.914,1
4,-0.0102563,0.0819015,124.407,3
4,0.00269358,0.094639,123.627,3
4,0.00609728,0.0951255,124.256,3
4,0.00833768,0.09891,124.912,3
4,-0.000488025,0.259998,125.38,3
4,0.00314008,0.267865,126.401,3
4,0.00107968,0.280697,125.367,3
4,-0.00600082,0.296384,126.444,3
4,-5.93E-05,0.135945,128.039,3
4,-0.00598992,0.126836,129.678,3
4,-0.00728942,0.133945,131.038,3
4,-0.00146542,0.132196,131.613,3
4,0.00257628,0.135362,131.553,3
4,0.000577975,0.140635,131.165,3
4,-0.0124937,0.114448,95.3933,2
4,-0.0123684,0.104261,95.3372,2
4,-0.00794042,0.0955822,96.0298,2
4,-0.00368162,0.085701,97.1958,2
4,-0.00309952,0.0796392,97.3358,2
4,-0.00120842,0.07592,97.8681,2
4,-0.00535902,0.0681372,97.7596,2
4,-0.012971,0.061443,133.992,2
4,-0.00274842,0.0738397,133.283,2
4,-0.00499272,0.072818,134.107,2
4,-0.00128502,0.0739472,134.794,2
4,0.00386858,-0.0297365,134.674,2
4,-0.000770425,-0.0363873,135.847,2
4,-0.00361122,-0.0368163,136.496,2
4,0.03103,-0.101771,123.56,3
4,0.00492648,-0.121524,120.267,3
4,0.0131688,-0.141024,116.855,3
4,0.00161618,-0.135562,118.342,3
4,0.00239198,-0.134339,120.499,3
4,0.00146898,-0.134773,120.513,3
4,0.00147358,-0.134639,121.191,3
4,0.00770508,-0.123271,123.113,3
4,-0.000391725,-0.121661,124.781,3
4,0.00357888,-0.124075,127.075,3
4,0.00186738,-0.12855,129.939,3
4,-0.00459282,-0.135862,130.356,3
4,-0.00328462,-0.137227,132.189,3
4,-4.24E-05,-0.124817,133.535,3
4,-0.00615472,-0.316177,129.745,2
4,-0.00340102,-0.310444,130.207,2
4,-0.00153232,-0.310059,131.297,2
4,-0.000652025,-0.310802,133.049,2
4,-0.00193252,-0.307371,132.805,2
4,-0.00271492,-0.306084,132.205,2
4,-0.00126652,-0.304943,133.51,2
4,-0.00337172,-0.243581,155.794,2
4,-0.00247072,-0.239639,157.521,2
4,-0.00218442,-0.244003,159.345,2
4,-0.00449142,-0.233253,160.398,2
4,0.000231075,-0.15341,162.023,2
4,0.00522658,-0.148422,162.244,2
4,0.000856675,-0.14358,162.269,2
4,-0.00326082,-0.290394,66.7698,4
4,-0.0119305,-0.278775,66.7011,4
4,-0.00597732,-0.229483,68.9499,4
4,-0.00938282,-0.238523,66.0123,4
4,-0.00829072,-0.258967,62.3955,4
4,-0.000653825,-0.214469,60.9026,4
4,0.00111758,-0.233306,60.5779,4
4,0.00762478,-0.136834,63.2171,4
4,0.0124924,-0.0856523,65.3164,4
4,0.000284175,-0.108217,61.1378,4
4,-0.00794482,-0.110224,57.3841,4
4,-0.0191919,-0.144866,54.9834,4
4,-0.0160775,-0.170023,54.6236,4
4,-0.00307782,-0.147822,58.8673,4
4,0.00996068,-0.032945,61.4175,4
4,0.0143904,0.0765492,62.6234,4
4,0.00865648,0.109612,62.262,4
4,0.00654108,0.0729207,60.8138,4
4,-0.0149498,-0.0343263,59.8293,4
4,-0.00200672,-0.144001,58.9943,4
4,-0.00236812,-0.143304,60.0484,4
4,0.00319278,-0.030135,61.3501,4
4,0.0141711,0.0460442,62.8045,4
4,0.00193838,0.073919,62.4921,4
4,-0.00355992,0.0541625,60.0566,4
4,-0.0141166,0.00012825,58.0865,4
4,-0.0126951,-0.0642465,56.7506,4
4,-0.0123134,-0.0530833,57.1688,4
5,0.0032163,-0.154396,214.533,1
5,-0.000136002,-0.159131,214.764,1
5,0.0235736,-0.16231,214.834,1
5,0.0029476,-0.168639,216.165,1
5,0.0053118,-0.173319,214.665,1
5,-0.0037982,-0.180088,214.449,1
5,-0.0199159,-0.182058,212.946,1
5,-0.0037183,-0.185274,212.522,1
5,0.000170098,-0.188361,214.664,1
5,0.0063035,-0.188808,214.611,1
5,0.0043553,-0.191219,215.942,1
5,0.0059922,-0.192466,215.383,1
5,0.0041092,-0.191988,215.283,1
5,-0.0020937,-0.192862,215.282,1
5,0.0089402,-0.163224,200.292,1
5,0.0050964,-0.148591,200.503,1
5,-0.0197242,-0.13667,200.751,1
5,0.0098671,-0.137078,200.993,1
5,-0.0170933,-0.150581,201.114,1
5,-0.013498,-0.158687,201.341,1
5,-0.0150847,-0.160837,201.01,1
5,-0.0166641,-0.164387,200.419,1
5,0.0056422,-0.163302,199.963,1
5,0.0106349,-0.160361,200.202,1
5,0.0104942,-0.158897,200.877,1
5,0.0058119,-0.153446,201.321,1
5,0.0018074,-0.149259,201.951,1
5,0.0018423,-0.145805,202.363,1
5,-0.0038578,-0.0747793,202.636,3
5,-0.0011543,-0.0707598,201.972,3
5,0.0032046,-0.0619876,201.285,3
5,0.001717,-0.0397921,201.823,3
5,0.0050197,-0.0228228,201.227,3
5,0.0023868,-0.0134223,200.839,3
5,0.0033273,-0.00866907,200.986,3
5,-3.49E-05,-0.0153176,201.371,3
5,0.0014695,-0.0212188,202.41,3
5,0.0043876,-0.0243443,202.684,3
5,-0.000785302,-0.0231306,202.394,3
5,-0.0039705,-0.0215628,202.172,3
5,-0.0021618,-0.0154303,200.916,3
5,0.0391246,-0.00421582,201.377,3
5,0.0063075,-0.0792521,201.795,2
5,-0.0033444,-0.0767031,201.79,2
5,0.0192048,-0.0613148,200.346,2
5,0.0019906,-0.0645486,200.797,2
5,0.0067638,-0.0651606,200.517,2
5,0.0076306,-0.0616006,198.971,2
5,0.008243,-0.0624741,200.966,2
5,0.0032109,-0.0698543,200.88,2
5,0.0032711,-0.0741783,200.685,2
5,0.0065749,-0.0775861,200.554,2
5,0.0033917,-0.0825058,200.044,2
5,-0.0013355,-0.0766956,200.316,2
5,0.0030216,-0.0745458,201.167,2
5,-0.0022202,-0.0765363,200.112,2
5,-0.0051754,-0.0337258,198.319,3
5,-0.0056816,-0.0368818,199.603,3
5,0.000650998,-0.0427456,200.232,3
5,-0.0132889,-0.0476098,201.144,3
5,0.0142896,-0.0473978,201.523,3
5,0.0069711,-0.0423748,200.565,3
5,0.0074891,-0.0313311,200.552,3
5,-0.004194,-0.0288386,199.388,3
5,0.000242698,-0.0248878,198.889,3
5,-0.0127279,-0.0246251,199.991,3
5,-0.000268802,-0.0290308,200.04,3
5,-0.0129348,-0.0352536,200.186,3
5,-0.0152954,-0.0490573,199.889,3
5,-0.0078243,-0.0630458,199.16,3
5,0.0202444,-0.101718,198.007,2
5,-0.0055541,-0.105896,198.726,2
5,-0.000181902,-0.111388,198.963,2
5,0.000774398,-0.10941,197.866,2
5,-0.000941102,-0.102341,197.821,2
5,0.0136289,-0.0986343,198.373,2
5,0.0027093,-0.0954993,198.599,2
5,-0.0013829,0.0161789,197.096,2
5,-0.000330902,0.0151812,196.515,2
5,0.0015978,0.00544443,196.295,2
5,-0.0138579,0.00387743,196.759,2
5,0.0079807,0.00158743,197.771,2
5,0.0055474,0.00216593,197.79,2
5,0.0032729,0.0131197,198.239,2
5,0.0105942,0.514195,117.604,4
5,0.0091634,0.545262,120.122,4
5,0.0011324,0.590607,122.472,4
5,0.0271818,0.609415,123.208,4
5,-0.0258896,0.658349,117.986,4
5,-0.0061395,0.6893,112.099,4
5,-0.0169481,0.72144,110.765,4
5,-0.0260939,0.77954,111.753,4
5,0.0405417,0.790179,118.842,4
5,0.0363452,0.812037,121.374,4
5,0.0308716,0.791572,122.451,4
5,0.0321018,0.786086,123.111,4
5,0.0218984,0.807804,122.651,4
5,0.0133204,0.819289,127.774,4
5,0.0261196,0.855661,132.42,4
5,0.0036332,0.877601,139.101,4
5,0.000147898,0.87168,143.475,4
5,-0.0031125,0.864204,146.727,4
5,-0.0038571,0.862699,146.926,4
5,0.0089727,0.842157,140.372,4
5,0.0127422,0.848614,131.565,4
5,0.0067825,0.819307,120.467,4
5,0.0135692,0.809254,113.178,4
5,0.0150929,0.820469,111.62,4
5,0.0174028,0.806118,114.508,4
5,-0.0112581,0.835238,121.385,4
5,0.100063,0.831664,125.569,4
5,0.0454376,0.818638,130.941,4
6,-0.0129447,0.321836,224.515,1
6,-0.0104104,0.296523,222.507,1
6,0.00494526,0.278115,220.162,1
6,0.00381186,0.273011,218.933,1
6,-0.00525394,0.267991,218.542,1
6,0.00761106,0.263677,217.924,1
6,-0.0229006,0.253076,218.929,1
6,0.0154165,0.249027,218.6,1
6,0.0100157,0.242698,217.642,1
6,0.00521066,0.241144,217.299,1
6,0.0336364,0.257502,215.919,1
6,-0.0101336,0.277339,214.82,1
6,-0.00761514,0.29912,213.938,1
6,-0.0256455,0.31216,214.31,1
6,0.0254914,-0.0644244,197.046,1
6,0.00936496,-0.0669174,196.073,1
6,0.00919716,-0.0630134,196.068,1
6,-0.0102818,-0.0528127,196.322,1
6,-0.00823744,-0.0536432,196.274,1
6,-0.00763864,-0.0547927,195.762,1
6,-0.00371354,-0.0618007,195.559,1
6,-0.000498642,-0.0713137,196.491,1
6,-0.01133,-0.0713294,197.391,1
6,0.00203986,-0.0783099,198.132,1
6,-0.00836524,-0.0773824,197.529,1
6,0.00368826,-0.0696387,196.662,1
6,-0.00490064,-0.0728357,196.213,1
6,-0.000956842,-0.0751144,195.82,1
6,0.00297496,-0.291151,196.559,3
6,-0.0316483,-0.302543,197.038,3
6,-0.0406293,-0.31969,197.992,3
6,0.00923446,-0.349571,198.295,3
6,0.0171155,-0.374495,197.314,3
6,0.0597584,-0.380302,197.417,3
6,0.0234451,-0.382241,196.478,3
6,0.00332196,-0.381955,195.889,3
6,-0.000769442,-0.368126,196.414,3
6,-0.00634134,-0.343556,195.43,3
6,0.0198623,-0.328519,196.072,3
6,0.00365696,-0.318293,196.982,3
6,0.016128,-0.322457,196.859,3
6,-0.0258451,-0.347374,197.037,3
6,0.0242158,-0.0579492,194.005,2
6,-0.0764568,-0.0484089,194.42,2
6,-0.0467774,-0.0587124,194.469,2
6,-0.0113311,-0.0222992,196.849,2
6,-0.0265855,-0.0153699,196.312,2
6,0.04421,0.0940343,196.096,2
6,0.0191678,0.213887,195.592,2
6,-0.00581254,-0.0306867,194.539,2
6,-0.0243855,-0.0381007,194.06,2
6,-0.0475484,-0.0350574,194.473,2
6,0.00303086,0.0102921,194.568,2
6,0.021344,0.0456293,194.402,2
6,0.0502942,0.0301176,195.136,2
6,0.0455999,0.00874184,194.312,2
6,-0.00657324,-0.39347,192.487,3
6,-0.0206731,-0.390344,192.914,3
6,-0.0192687,-0.392129,193.935,3
6,-0.000116742,-0.395419,193.4,3
6,-0.00266904,-0.404429,193.085,3
6,0.0126261,-0.385325,191.825,3
6,0.0196961,-0.375454,191.299,3
6,-0.00304054,-0.386814,191.9,3
6,0.0114331,-0.413776,191.379,3
6,-0.00912224,-0.453593,192.516,3
6,-0.0381737,-0.479152,192.342,3
6,0.0146654,-0.484516,191.608,3
6,0.00498706,-0.473052,192.207,3
6,0.00657766,-0.445136,191.434,3
6,0.0301147,0.0604346,191.827,2
6,0.0110404,0.0682631,191.313,2
6,0.0315776,0.0788331,190.448,2
6,-0.0117764,0.116044,190.267,2
6,-0.0124272,0.143323,190.008,2
6,0.00147596,0.164636,189.423,2
6,-0.0314369,0.188736,189.197,2
6,-0.0131284,0.0679296,191.607,2
6,-0.00660944,0.106133,191.936,2
6,-0.0347584,0.200167,191.797,2
6,-0.0155993,0.247625,192.298,2
6,0.0167985,0.249363,192.352,2
6,0.00574756,0.248753,193.244,2
6,0.0492272,0.214074,192.678,2
6,-0.0170973,0.273475,88.9675,4
6,0.00991106,0.32718,81.0562,4
6,0.0396231,0.431583,83.9504,4
6,0.00988586,0.56712,85.1629,4
6,0.00503846,0.673546,84.2747,4
6,0.0247636,0.673503,83.846,4
6,0.00912936,0.649342,82.5895,4
6,-0.0383619,0.626415,82.7706,4
6,-0.0151533,0.625974,83.4596,4
6,-0.0434896,0.664823,82.6057,4
6,-0.0230616,0.724419,84.6321,4
6,0.0123836,0.75299,86.5154,4
6,0.0461929,0.756768,86.7334,4
6,0.0469888,0.727918,87.9512,4
6,0.0426462,0.671845,87.7609,4
6,-0.0170537,0.638016,87.6215,4
6,-0.0408663,0.642323,89.4112,4
6,-0.0482307,0.665123,90.7111,4
6,-0.0518357,0.723204,92.2344,4
6,0.0239403,0.749324,93.7732,4
6,0.0371892,0.718044,95.5387,4
6,5.22E-02,0.686322,97.8453,4
6,4.69E-02,0.584319,98.17,4
6,-2.25E-02,0.576131,98.903,4
6,-9.28E-02,0.630296,99.2826,4
6,-0.0461424,0.695578,99.2857,4
6,-0.0187634,0.794318,101.47,4
6,-0.00109174,0.823235,101.845,4
7,-0.506507,-0.0823136,1121.67,1
7,-0.447786,-0.0849216,1124.3,1
7,-0.400886,-0.0787788,1127.36,1
7,-0.340704,-0.0723083,1130.89,1
7,-0.302516,-0.0610121,1138.08,1
7,-0.218847,-0.0495631,1142.71,1
7,-0.149751,-0.0425626,1147.39,1
7,-0.0947678,-0.0355876,1152.05,1
